                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.62563,                0.67652,                 1.0982,                0.85857,                 0.5662,                0.61547,                0.37874,                 1.2013,                0.93199,                 1.4173,              0.0095198,              0.0095198,              0.0095198
                     99,                0.62725,                0.67839,                 1.0998,                0.85874,                0.56574,                0.61937,                0.37969,                 1.2027,                 0.9363,                 1.4197,              0.0095149,              0.0095149,              0.0095149
                    100,                0.62198,                0.67573,                 1.0966,                0.86003,                0.56576,                 0.6205,                0.38097,                 1.2012,                0.93799,                 1.4195,                0.00951,                0.00951,                0.00951
                    101,                0.62074,                0.67067,                 1.0993,                0.81196,                0.59318,                0.62027,                0.38188,                    1.2,                0.93793,                 1.4188,               0.009505,               0.009505,               0.009505
                    102,                 0.6228,                0.67614,                 1.0958,                0.85234,                0.56717,                0.61726,                0.37919,                 1.2007,                0.93882,                   1.42,                 0.0095,                 0.0095,                 0.0095
                    103,                0.62912,                0.68094,                 1.1003,                0.80728,                0.59569,                0.61775,                0.38062,                 1.2031,                0.94152,                 1.4221,              0.0094951,              0.0094951,              0.0094951
                    104,                0.61739,                0.67032,                 1.0965,                0.80841,                0.59367,                0.61869,                0.37959,                 1.2019,                0.94625,                 1.4212,              0.0094902,              0.0094902,              0.0094902
                    105,                0.62166,                0.67445,                 1.0949,                0.80767,                0.59308,                0.61495,                0.37782,                 1.2042,                0.94583,                 1.4239,              0.0094852,              0.0094852,              0.0094852
                    106,                0.62306,                0.67145,                 1.0979,                 0.8062,                0.59439,                0.61119,                0.37486,                 1.2031,                0.94751,                 1.4244,              0.0094803,              0.0094803,              0.0094803
                    107,                0.62677,                 0.6755,                 1.1012,                 0.8119,                0.59712,                0.61211,                0.37328,                  1.203,                0.95047,                 1.4226,              0.0094753,              0.0094753,              0.0094753
                    108,                0.62348,                0.68185,                 1.0992,                0.81201,                 0.6022,                0.61199,                0.37383,                  1.202,                0.95339,                 1.4208,              0.0094704,              0.0094704,              0.0094704
                    109,                0.62108,                 0.6715,                 1.0963,                0.87823,                 0.5649,                0.61109,                0.37376,                  1.201,                0.95253,                   1.42,              0.0094654,              0.0094654,              0.0094654
                    110,                0.62132,                0.66624,                 1.0957,                0.88052,                 0.5657,                 0.6135,                0.37328,                 1.2016,                0.95268,                 1.4202,              0.0094605,              0.0094605,              0.0094605
                    111,                 0.6188,                0.66742,                  1.094,                0.88147,                0.56556,                0.61651,                0.37623,                 1.2008,                0.95072,                 1.4203,              0.0094555,              0.0094555,              0.0094555
                    112,                 0.6191,                0.67178,                 1.0919,                0.88127,                0.56785,                0.61731,                0.37847,                 1.2004,                0.94968,                 1.4214,              0.0094506,              0.0094506,              0.0094506
                    113,                0.62094,                0.67199,                 1.0957,                0.88119,                0.56828,                0.61661,                0.37583,                 1.2009,                0.94848,                 1.4206,              0.0094456,              0.0094456,              0.0094456
